date,daily_pnl,cum_pnl,in_trade,implied_corr,corr_pctl
2021-06-18,0.0,0.0,False,0.45296314572113977,14.285714285714285
2021-06-21,0.0,0.0,False,0.3450745176866195,4.651162790697675
2021-06-22,0.0,0.0,False,0.3556123587581841,9.090909090909092
2021-06-23,0.0,0.0,False,0.2966763480791796,2.2222222222222223
2021-06-24,0.0,0.0,False,0.35622736487062695,13.043478260869565
2021-06-25,0.0,0.0,False,0.33676729936190075,6.382978723404255
2021-06-28,0.0,0.0,False,0.3812661821631376,18.75
2021-06-29,0.0,0.0,False,0.44710960393661414,24.489795918367346
2021-06-30,0.0,0.0,False,0.45147429855218957,26.0
2021-07-01,0.0,0.0,False,0.5398970912211856,39.21568627450981
2021-07-02,0.0,0.0,False,0.4766880709796463,28.846153846153843
2021-07-06,0.0,0.0,False,0.4473732774725265,24.528301886792452
2021-07-07,0.0,0.0,False,0.5237750322636787,38.88888888888889
2021-07-08,0.0,0.0,False,0.5578053468129499,47.27272727272727
2021-07-09,0.0,0.0,False,0.5785996971316385,53.57142857142857
2021-07-12,0.0,0.0,False,0.5464262463560479,43.859649122807014
2021-07-13,0.0,0.0,False,0.533596516528977,39.6551724137931
2021-07-14,0.0,0.0,False,0.485245766189007,28.8135593220339
2021-07-15,0.0,0.0,False,0.39965063892273445,16.666666666666664
2021-07-16,0.0,0.0,False,0.3818937571501101,16.39344262295082
2021-07-19,0.0,0.0,False,0.4024877107918103,19.35483870967742
2021-07-20,0.0,0.0,False,0.3244572139525854,4.761904761904762
2021-07-21,0.0,0.0,False,0.4274587975907007,23.4375
2021-07-22,0.0,0.0,False,0.44237141989841217,26.153846153846157
2021-07-23,0.0,0.0,False,0.44955555129375757,30.303030303030305
2021-07-26,0.0,0.0,False,0.39099088790824726,17.91044776119403
2021-07-27,0.0,0.0,False,0.4572446242652383,35.294117647058826
2021-07-28,0.0,0.0,False,0.5567053919415861,55.072463768115945
2021-07-29,0.0,0.0,False,0.614300145205128,65.71428571428571
2021-07-30,0.0,0.0,False,0.6156489152811487,66.19718309859155
2021-08-02,0.0,0.0,False,0.5937815003004244,63.888888888888886
2021-08-03,0.0,0.0,False,0.6068534742505578,64.38356164383562
2021-08-04,0.0,0.0,False,0.6190991712728959,68.91891891891892
2021-08-05,0.0,0.0,False,0.5679476279329889,53.333333333333336
2021-08-06,0.0,0.0,False,0.524557387341932,42.10526315789473
2021-08-09,0.0,0.0,False,0.5449575468397012,48.05194805194805
2021-08-10,0.0,0.0,False,0.6024340515128003,64.1025641025641
2021-08-11,0.0,0.0,False,0.6186530537082504,69.62025316455697
2021-08-12,0.0,0.0,False,0.6839096998187932,73.75
2021-08-13,-1864.1335792035838,-1864.1335792035838,True,0.9231075305718724,85.18518518518519
2021-08-16,-32.46406811669294,-1896.5976473202768,True,1.0,94.51219512195121
2021-08-17,-873.0118103745783,-2769.6094576948553,True,1.0,93.97590361445783
2021-08-18,-251.47385445730757,-3021.0833121521628,True,0.9284356255622656,83.33333333333334
2021-08-19,-371.8376998911956,-3392.921012043358,True,0.7015831761092094,70.58823529411765
2021-08-20,-2919.9877705059193,-6312.908782549277,False,0.45522559454424044,27.906976744186046
2021-08-23,0.0,-6312.908782549277,False,0.5043306324111009,34.48275862068966
2021-08-24,0.0,-6312.908782549277,False,0.506287455189672,35.22727272727273
2021-08-25,0.0,-6312.908782549277,False,0.30647370370581706,2.247191011235955
2021-08-26,0.0,-6312.908782549277,False,0.22743186918340275,1.1111111111111112
2021-08-27,0.0,-6312.908782549277,False,0.19116923948652814,1.098901098901099
2021-08-30,0.0,-6312.908782549277,False,0.1961602334405866,2.1739130434782608
2021-08-31,0.0,-6312.908782549277,False,0.19558947299341814,2.1505376344086025
2021-09-01,0.0,-6312.908782549277,False,0.1727053720547568,1.0638297872340425
2021-09-02,0.0,-6312.908782549277,False,0.14933272848572496,1.0526315789473684
2021-09-03,0.0,-6312.908782549277,False,0.1324732698212195,1.0416666666666665
2021-09-07,0.0,-6312.908782549277,False,0.13539536395092652,2.0618556701030926
2021-09-08,0.0,-6312.908782549277,False,0.14947657343890836,4.081632653061225
2021-09-09,0.0,-6312.908782549277,False,0.12705054757875767,1.0101010101010102
2021-09-10,0.0,-6312.908782549277,False,0.14171258270103065,4.0
2021-09-13,0.0,-6312.908782549277,False,0.08732989989420832,0.9900990099009901
2021-09-14,0.0,-6312.908782549277,False,0.08416406344812578,0.9803921568627451
2021-09-15,0.0,-6312.908782549277,False,0.06875711270428474,0.9708737864077669
2021-09-16,0.0,-6312.908782549277,False,0.008308529126501357,0.9615384615384616
2021-09-17,0.0,-6312.908782549277,False,0.07618653153231308,2.857142857142857
2021-09-20,0.0,-6312.908782549277,False,0.20819863486772586,15.09433962264151
2021-09-21,0.0,-6312.908782549277,False,0.3509378599963747,23.364485981308412
2021-09-22,0.0,-6312.908782549277,False,0.31421622172451114,18.51851851851852
2021-09-23,0.0,-6312.908782549277,False,0.33448143008380665,21.100917431192663
2021-09-24,0.0,-6312.908782549277,False,0.4429461460367295,36.36363636363637
2021-09-27,0.0,-6312.908782549277,False,0.43359422838040773,34.234234234234236
2021-09-28,-1998.070799704407,-8310.979582253683,True,0.6890549375600434,76.78571428571429
2021-09-29,463.6731105804552,-7847.306471673228,True,0.7452210564329623,79.64601769911505
2021-09-30,-103.46065194422363,-7950.767123617452,True,0.7206825472625797,77.19298245614034
2021-10-01,-12.378643402439025,-7963.145767019891,True,0.7514947168792951,80.8695652173913
2021-10-04,-217.2865805065179,-8180.432347526408,True,0.6859724375977314,74.13793103448276
2021-10-05,-348.0134812007609,-8528.44582872717,True,0.7275392980829288,76.92307692307693
2021-10-06,-55.149343243833414,-8583.595171971003,True,0.7267813022216005,76.27118644067797
2021-10-07,-4.238021249327062,-8587.83319322033,True,0.7277864280121293,77.31092436974791
2021-10-08,116.5096141795907,-8471.323579040738,True,0.7386049747865715,78.33333333333333
2021-10-11,65.5116114906316,-8405.811967550106,True,0.73325178742468,77.68595041322314
2021-10-12,-25.036304079681713,-8430.848271629788,True,0.7044738370307279,72.95081967213115
2021-10-13,72.7045293012377,-8358.14374232855,True,0.7219023237648755,73.98373983739837
2021-10-14,253.36765758154672,-8104.776084747003,True,0.8107251590533191,84.67741935483872
2021-10-15,-220.44370948353048,-8325.219794230534,True,0.7785398521735042,82.39999999999999
2021-10-18,26.64911205832675,-8298.570682172207,True,0.7813632518405681,82.53968253968253
2021-10-19,-61.10947847141358,-8359.68016064362,True,0.8242349710600245,85.8267716535433
2021-10-20,-76.52485950286234,-8436.205020146483,True,0.8082329384199711,83.59375
2021-10-21,-65.87226530186774,-8502.077285448351,True,0.8032118466182453,82.17054263565892
2021-10-22,-46.705673876191554,-8548.782959324542,True,0.7827770186914447,81.53846153846153
2021-10-25,-220.5042666296115,-8769.287225954155,True,0.7816249210845218,80.1526717557252
2021-10-26,-1440.57118475789,-10209.858410712044,True,0.5900249112271546,56.060606060606055
2021-10-27,-2160.023474373092,-12369.881885085137,False,0.37741150242989085,23.308270676691727
2021-10-28,0.0,-12369.881885085137,False,0.3538784499100849,20.8955223880597
2021-10-29,0.0,-12369.881885085137,False,0.31972443239845066,15.555555555555555
2021-11-01,0.0,-12369.881885085137,False,0.3327338303296415,17.647058823529413
2021-11-02,0.0,-12369.881885085137,False,0.30754902521765864,14.5985401459854
2021-11-03,0.0,-12369.881885085137,False,0.33014310986506923,18.115942028985508
2021-11-04,0.0,-12369.881885085137,False,0.2073099453587327,11.510791366906476
2021-11-05,0.0,-12369.881885085137,False,0.18549167023380547,9.285714285714286
2021-11-08,0.0,-12369.881885085137,False,0.14106790389126506,6.382978723404255
2021-11-09,0.0,-12369.881885085137,False,0.10389297029492077,4.225352112676056
