dte,basket_iv
1,0.3621889953613281
3,0.3909566113281249
6,0.3707338317871093
8,0.3903259210205077
10,0.39973541351318354
17,0.40148507049560545
24,0.3927876477050781
31,0.4243323355102539
38,0.4181373291015624
58,0.43069518692016595
87,0.4271170366668701
122,0.430545143661499
150,0.4378235132598877
178,0.44126433578491203
213,0.4425740354156493
241,0.44535619346618655
269,0.4455011505126953
332,0.44781919170379636
422,0.4524501878738403
514,0.4585377480506897
605,0.4570481236648559
640,0.4566692008590698
787,0.4629494013214111
969,0.45664122669219975
