total_return,ann_return,ann_vol,sharpe,max_dd,n_trades,win_rate,profit_factor
6.2660113146740954,0.47405077624905295,0.43783489493493405,1.0827158404528285,-0.1784450068194775,16,0.75,14.586627407851827
5.881957478641005,0.4270714712592639,0.3017213364138183,1.415450018667307,-0.19518157595484026,21,0.8571428571428571,11.728169090046348
1.577232005188777,0.20559190057870727,0.17975729793960965,1.1437193534572203,-0.10089630637263057,20,0.7,8.479742480167202
-0.34378414349457687,0.15014670183075546,0.5602113887925404,0.26801793900401827,-0.8264097761625115,18,0.6111111111111112,3.00666115251119
1.574047850498089,0.20701995618993482,0.19160589527624844,1.0804466944582425,-0.26536995896753063,20,0.7,3.760928976400677
1.3896233140494063,0.18735485161043774,0.16200054217830318,1.156507559118097,-0.13760678717970648,14,0.7142857142857143,10.699906145779687
2.021346056992582,0.28793643275835235,0.4158061409517947,0.6924775860675262,-0.3709943994451469,20,0.6,3.922965109017751
2.5717929649028335,0.29013845550493217,0.28438483493012157,1.0202318122069496,-0.08362056657780666,18,0.6111111111111112,10.502810805702337
5.894948453470061,0.4310777359545943,0.3272436684496656,1.3172989350622064,-0.062057090532004255,11,1.0,21451249241.550045
1.2453130588712478,0.18295134597285664,0.2093371787885201,0.8739553433921102,-0.21542756947117042,18,0.6111111111111112,4.120002512493709
3.851358250722014,0.3498160950756235,0.2689944398542534,1.3004584602758364,-0.11115472450418629,19,0.7894736842105263,21.860917982934648
4.575617169664543,0.3834964254013304,0.29260092395558385,1.3106466658305709,-0.27378558062617514,25,0.64,5.012893954788913
5.47705967347813,0.4228828795542098,0.3315561005371463,1.2754489477621045,-0.11725624376796433,24,0.7083333333333334,8.896300136159429
0.3521086757818823,0.06979910946911651,0.13753375850959376,0.5075052861603256,-0.3039483131999028,20,0.6,1.9169344814101235
2.564276823116814,0.2768981363428879,0.21543592596728464,1.285292297928697,-0.1462690575207759,19,0.7368421052631579,6.315984851877726
17.294099623845245,0.9299704617762257,1.3446728265624417,0.69159608449412,-0.10794438056005666,15,0.9333333333333333,186.16715882569613
4.641836697469098,0.3927577855290887,0.329631806007442,1.1915045161637754,-0.16024786179731762,20,0.75,9.423269158166388
5.33934520449302,0.40650001620491266,0.28519111678485165,1.4253600209840214,-0.16411838013793775,17,0.8823529411764706,139.53354688967545
1.3717656553905546,0.2015296434660865,0.25066282243502336,0.8039869714557566,-0.22735841267957171,24,0.6666666666666666,4.089994604147616
1.597708049486506,0.218586559287831,0.23691078328930937,0.922653482686344,-0.20707423018890292,23,0.6956521739130435,3.556003485069558
1.9417985616021078,0.23142449905557755,0.1744239448067227,1.326793172302212,-0.09529021668583956,19,0.8421052631578947,15.556174199025458
1.0449020903272248,0.16743806793737048,0.22607483145942595,0.740631174449956,-0.2844809818006756,21,0.7142857142857143,2.9273549895484936
2.8911050128998137,0.30299311958744374,0.25604352040482,1.1833656993482735,-0.20285704376162306,22,0.7272727272727273,5.610830352446758
0.44827343652576745,0.08950940983755795,0.17641350129014138,0.507384124134268,-0.1911578483752895,21,0.7142857142857143,2.038190724431002
1.0311748121433753,0.16792593230945793,0.23547865674224072,0.7131259139688093,-0.3698898748103037,18,0.6111111111111112,2.6877551354616647
1.582364393233135,0.20389787148347427,0.16539165751527138,1.232818357024129,-0.11923363648613745,20,0.7,6.749522536908482
4.380080041980028,0.4027829914098909,0.39678136416945226,1.0151257790370305,-0.3871275772899012,24,0.6666666666666666,4.25154244874943
1.7645427970270782,0.23614708572619195,0.2849321392695261,0.8287836055686689,-0.08962640470744583,18,0.7777777777777778,11.478327251757692
0.8343802973317986,0.1409093003511107,0.20585430583133682,0.6845098516742337,-0.19276971491694864,19,0.47368421052631576,3.710872942337776
7.455199806013763,0.47202574675723397,0.31724216125350635,1.4879035777972807,-0.14737796543840004,25,0.84,14.131867396985593
4.128119585754961,0.3936984931133329,0.4139126013268563,0.9511633418535116,-0.15010317210435417,25,0.8,8.755474153035548
2.5880490143119275,0.2790408422167484,0.22015504220379933,1.2674742282688125,-0.10221291185431107,20,0.75,9.237267773830975
2.0114368776322866,0.24019634527293357,0.1968433437596945,1.2202411353373688,-0.15679759342417854,25,0.72,6.2860978035742034
7.623648135415591,0.5223271995573234,0.49855697802737053,1.0476780439900852,-0.13297731076235927,21,0.7619047619047619,12.97833382249411
0.43110833848746477,0.08072014359710752,0.13428990700073287,0.6010886849200588,-0.1709673952550701,18,0.6111111111111112,2.9441183911944173
1.8046316886570115,0.21864519244191755,0.15508257318934296,1.4098630680764492,-0.09628758998455247,16,0.9375,15.295956871395683
5.212204986081032,0.39569380523103376,0.24946735307164408,1.5861546625597744,-0.20045866434128057,24,0.75,18.518576739892918
0.32995691787173764,0.07833502639888354,0.20890921668390317,0.374971615146166,-0.3420127076298198,21,0.6190476190476191,1.7426094690321574
3.436995523812545,0.33408035674257736,0.278885461388863,1.1979124156520786,-0.10435414377206212,17,0.7058823529411765,9.732272238621626
5.357084279966353,0.4026669553676285,0.2578676819815898,1.5615254780022276,-0.24441003079220133,24,0.6666666666666666,8.136294603423256
2.069105878572729,0.24436713824510659,0.19777533679489134,1.2355794317192068,-0.20386318574719056,22,0.7727272727272727,5.736483793547525
1.0060657565321725,0.1661838384309841,0.24410446043434095,0.680789847654931,-0.26679021868224295,17,0.5294117647058824,3.574061409192715
11.557258553479416,0.6909107725107031,0.8558492664433108,0.8072809075153506,-0.08372100538383856,17,0.8823529411764706,54.69667460677544
6.039315755163592,0.4164759165581271,0.2292834132259748,1.8164240958313935,-0.06068970323071353,19,0.8421052631578947,40.288731597038144
1.1890907954928989,0.1799818802582651,0.22091513120462972,0.8147105147431078,-0.16951937082419674,24,0.625,3.2786263125887776
5.122938333492231,0.40707764332634855,0.32158233858882057,1.2658582094797295,-0.08936678425525572,23,0.782608695652174,18.48423507522794
1.6696870671576658,0.21178448791694665,0.17789946735781378,1.190472861231108,-0.14282282419252634,14,0.9285714285714286,19.409331322531322
7.202319808986816,0.5107058872545287,0.4819151900025225,1.0597422489460344,-0.32512454371384003,22,0.7727272727272727,7.016603254973116
7.205971486743893,0.47266677118016587,0.33889024167300724,1.3947488391720604,-0.1199492963754139,27,0.8148148148148148,13.465677128574677
4.746531037191059,0.3829693297499173,0.2657753071474178,1.4409515084766524,-0.08413287903547212,22,0.8181818181818182,28.012599079729046
1.833731537704117,0.37868803730557976,0.5239244481448107,0.7227913082630415,-0.7412474416204825,16,0.875,3.5038336645669013
3.8838675595949548,0.41064106845759424,0.5389981573330411,0.7618598744185754,-0.12296693338852027,18,0.8333333333333334,24.02295768652886
4.77021280584837,0.4342647503653536,0.5000330501270144,0.8684720945046436,-0.18458727670684402,27,0.7037037037037037,5.986331299323933
4.869699945006023,0.456552824283435,0.5853889325271417,0.7799136589625681,-0.0417547518932645,12,0.8333333333333334,186.79762902433185
1.7180855180808066,0.21655440861324382,0.18107878128733204,1.1959126689151933,-0.09064087764251029,20,0.75,8.763479833924684
1.7168231818678006,0.2185633899965962,0.19393701662240637,1.1269812942525415,-0.16573445350203966,21,0.7619047619047619,4.488825373400134
2.1324670344251766,0.3551152852447203,0.6258682943374081,0.5673961893542993,-0.40637559791149563,14,0.5714285714285714,4.542365225281197
3.194169021188091,0.3102137578683058,0.21582874521962142,1.4373143741934873,-0.1524022460098002,21,0.7619047619047619,9.780887702863367
4.678078540588577,0.4112807676850956,0.4230620917092097,0.9721522578954864,-0.13698923317225983,12,0.8333333333333334,23.827115725207044
